"","Robot","Hometown","lon","lat","Team"
"1","Yeti","Wasilla, AK",-149.4410598,61.5808763,"Team Yeti , from Wasilla, AK"
"2","Tombstone","Placerville, CA",-120.798546,38.7296252,"Team Tombstone , from Placerville, CA"
"3","Axe Backwards","Port Saint Lucie, FL",-80.3582261,27.2730492,"Team Axe Backwards , from Port Saint Lucie, FL"
"4","Bite Force","Mountain View, CA",-122.0838511,37.3860517,"Team Bite Force , from Mountain View, CA"
"5","Black Dragon","Itajubá, Minas Gerais, Brasil",-45.4591388,-22.4292698,"Team Black Dragon , from Itajubá, Minas Gerais, Brasil"
"6","Blacksmith","Edison, NJ",-74.4120953,40.5187154,"Team Blacksmith , from Edison, NJ"
"7","Bloodsport","Somerville, MA",-71.0994968,42.3875968,"Team Bloodsport , from Somerville, MA"
"8","Bombshell","Atlanta, GA",-84.3879824,33.7489954,"Team Bombshell , from Atlanta, GA"
"9","Breaker Box","Bradenton, FL",-82.5748194,27.4989278,"Team Breaker Box , from Bradenton, FL"
"10","Bronco","Sausalito, CA",-122.4852507,37.8590937,"Team Bronco , from Sausalito, CA"
"11","Captain Shrederator","Ormond Beach, FL",-81.0558894,29.2858129,"Team Captain Shrederator , from Ormond Beach, FL"
"12","BattleSaw","Wichita, Ks",-97.330053,37.6871761,"Team BattleSaw , from Wichita, Ks"
"13","Chronos","Canoga Park, California",-118.6058609,34.208254,"Team Chronos , from Canoga Park, California"
"14","Cobalt","England",-1.1743197,52.3555177,"Team Cobalt , from England"
"15","Copperhead","Loveland, Colorado",-105.0749801,40.3977612,"Team Copperhead , from Loveland, Colorado"
"16","Daisy Cutter","Huntington Beach, CA",-117.9988026,33.6594835,"Team Daisy Cutter , from Huntington Beach, CA"
"17","DeathRoll","Brisbane, Australia",153.0251235,-27.4697707,"Team DeathRoll , from Brisbane, Australia"
"18","Deep Six","Newton, WI",-87.7263327,43.9937427,"Team Deep Six , from Newton, WI"
"19","Double Jeopardy","Irvine, California",-117.8265049,33.6845673,"Team Double Jeopardy , from Irvine, California"
"20","DUCK!","Hillsborough, CA",-122.3794163,37.5741032,"Team DUCK! , from Hillsborough, CA"
"21","Electric Ray","Herndon, Virginia",-77.3860976,38.9695545,"Team Electric Ray , from Herndon, Virginia"
"22","End Game","Auckland, New Zealand",174.7624886,-36.8483048,"Team End Game , from Auckland, New Zealand"
"23","Extinguisher","Tampa, Florida",-82.4571776,27.950575,"Team Extinguisher , from Tampa, Florida"
"24","Falcon","Dorchester, WI",-90.3356912,45.0030238,"Team Falcon , from Dorchester, WI"
"25","The Four Horsemen","Brighton, United Kingdom",-0.137163,50.82253,"Team The Four Horsemen , from Brighton, United Kingdom"
"26","Foxtrot","Raleigh, NC",-78.6381787,35.7795897,"Team Foxtrot , from Raleigh, NC"
"27","Free Shipping","San Leandro, CA",-122.1568554,37.7257663,"Team Free Shipping , from San Leandro, CA"
"28","Gemini","Santa Monica, CA",-118.4911912,34.0194543,"Team Gemini , from Santa Monica, CA"
"29","Gigabyte","Oceanside, CA",-117.3794834,33.1958696,"Team Gigabyte , from Oceanside, CA"
"30","Gruff","Holiday, FL",-82.7395454,28.18779,"Team Gruff , from Holiday, FL"
"31","HUGE","South Windsor, CT",-72.5717551,41.8489872,"Team HUGE , from South Windsor, CT"
"32","Hydra","Abbotsford, WI",-90.315969,44.946356,"Team Hydra , from Abbotsford, WI"
"33","HyperShock","Miami, FL",-80.1917902,25.7616798,"Team HyperShock , from Miami, FL"
"34","Jasper","London, UK",-0.1277583,51.5073509,"Team Jasper , from London, UK"
"35","Kingpin","Sacramento, CA",-121.4943996,38.5815719,"Team Kingpin , from Sacramento, CA"
"36","Kraken","Titusville, FL",-80.8075537,28.6122187,"Team Kraken , from Titusville, FL"
"37","Lock Jaw","San Diego, CA",-117.1610838,32.715738,"Team Lock Jaw , from San Diego, CA"
"38","Lucky!","Ottawa, Canada",-75.6971931,45.4215296,"Team Lucky! , from Ottawa, Canada"
"39","MadCatter","Pomona, CA",-117.7499909,34.055103,"Team MadCatter , from Pomona, CA"
"40","Mammoth","Baltimore, Maryland",-76.6121893,39.2903848,"Team Mammoth , from Baltimore, Maryland"
"41","Marvin","Hillsborough, CA",-122.3794163,37.5741032,"Team Marvin , from Hillsborough, CA"
"42","Minotaur","Rio de Janeiro, Brazil",-43.1728965,-22.9068467,"Team Minotaur , from Rio de Janeiro, Brazil"
"43","Monsoon","Turvey, United Kingdom",-0.624502,52.1626108,"Team Monsoon , from Turvey, United Kingdom"
"44","Nelly the Ellybot","Derby, UK",-1.4746186,52.9225301,"Team Nelly the Ellybot , from Derby, UK"
"45","Nightmare","Bradenton, FL",-82.5748194,27.4989278,"Team Nightmare , from Bradenton, FL"
"46","P1","Clemson, South Carolina",-82.8373654,34.6834382,"Team P1 , from Clemson, South Carolina"
"47","Petunia","Anna Paulowna, Netherlands",4.8238091,52.8616158,"Team Petunia , from Anna Paulowna, Netherlands"
"48","Quantum","Birmingham, England",-1.890401,52.486243,"Team Quantum , from Birmingham, England"
"49","Ragnarök","Kent, Isle of Sheppey, UK",0.8365233,51.3964896,"Team Ragnarök , from Kent, Isle of Sheppey, UK"
"50","RailGun Max","Shanghai, China",121.473701,31.230416,"Team RailGun Max , from Shanghai, China"
"51","Rainbow","Saint-Petersburg, Russia",30.3609096,59.9310584,"Team Rainbow , from Saint-Petersburg, Russia"
"52","Ribbot","Worcester, MA",-71.8022934,42.2625932,"Team Ribbot , from Worcester, MA"
"53","ROTATOR","Doral, FL",-80.3553302,25.8195424,"Team ROTATOR , from Doral, FL"
"54","SawBlaze","Cambridge, MA",-71.1097335,42.3736158,"Team SawBlaze , from Cambridge, MA"
"55","Sharkoprion","Poway, CA",-117.0358646,32.9628232,"Team Sharkoprion , from Poway, CA"
"56","Shatter!","Brooklyn, NY",-73.9441579,40.6781784,"Team Shatter! , from Brooklyn, NY"
"57","Shellshock","Rolling Hills Estates, CA",-118.3581284,33.7877943,"Team Shellshock , from Rolling Hills Estates, CA"
"58","Sidewinder","Salt Lake City, UT",-111.8910474,40.7607793,"Team Sidewinder , from Salt Lake City, UT"
"59","Skorpios","Lafayette, CA",-122.1180201,37.8857582,"Team Skorpios , from Lafayette, CA"
"60","Son of Whyachi (aka SOW)","Dorchester, WI",-90.3356912,45.0030238,"Team Son of Whyachi (aka SOW) , from Dorchester, WI"
"61","SubZero","Malvern, PA",-75.5138118,40.0362184,"Team SubZero , from Malvern, PA"
"62","Tantrum","Mountain View, CA",-122.0838511,37.3860517,"Team Tantrum , from Mountain View, CA"
"63","Texas Twister","Liberty Hill, Texas",-97.9225161,30.6649119,"Team Texas Twister , from Liberty Hill, Texas"
"64","Uppercut","Cambridge, MA",-71.1097335,42.3736158,"Team Uppercut , from Cambridge, MA"
"65","Valkyrie","Somerville, MA",-71.0994968,42.3875968,"Team Valkyrie , from Somerville, MA"
"66","WanHoo","Shanghai, China",121.473701,31.230416,"Team WanHoo , from Shanghai, China"
"67","WAR Hawk","Seattle, WA",-122.3320708,47.6062095,"Team WAR Hawk , from Seattle, WA"
"68","Whiplash","Thousand Oaks, CA",-118.8375937,34.1705609,"Team Whiplash , from Thousand Oaks, CA"
"69","Witch Doctor","Miami, FL",-80.1917902,25.7616798,"Team Witch Doctor , from Miami, FL"
"70","Bale Spear","Salem, NJ",-75.4671423,39.5717796,"Team Bale Spear , from Salem, NJ"
"71","Battle Royale With Cheese","Oakland, CA",-122.2711639,37.8043514,"Team Battle Royale With Cheese , from Oakland, CA"
"72","Basilisk","Edmonton, Canada",-113.4938229,53.5461245,"Team Basilisk , from Edmonton, Canada"
"73","Brutus","Somerville, MA",-71.0994968,42.3875968,"Team Brutus , from Somerville, MA"
"74","Chomp","Seattle, WA",-122.3320708,47.6062095,"Team Chomp , from Seattle, WA"
"75","Deviled Egg","Vallejo, CA",-122.2566367,38.1040864,"Team Deviled Egg , from Vallejo, CA"
"76","Double Dutch","Wadsworth, IL",-87.9039574,42.4286813,"Team Double Dutch , from Wadsworth, IL"
"77","Gamma 9","Westminster, CA",-117.9897058,33.7591757,"Team Gamma 9 , from Westminster, CA"
"78","Hypothermia","Liberty Hill, TX",-97.9225161,30.6649119,"Team Hypothermia , from Liberty Hill, TX"
"79","Icewave","Burlingame, CA",-122.34809,37.5778696,"Team Icewave , from Burlingame, CA"
"80","Mecha Rampage","San Luis Obispo, CA",-120.6596156,35.2827524,"Team Mecha Rampage , from San Luis Obispo, CA"
"81","Mohawk","Miami, FL",-80.1917902,25.7616798,"Team Mohawk , from Miami, FL"
"82","Overhaul","Cambridge, MA",-71.1097335,42.3736158,"Team Overhaul , from Cambridge, MA"
"83","Parallax","Northampton, United Kingdom",-0.902656,52.240477,"Team Parallax , from Northampton, United Kingdom"
"84","Predator","Knightdale, NC",-78.4805563,35.7876515,"Team Predator , from Knightdale, NC"
"85","Reality","Tilburg, The Netherlands",5.056375,51.5852528,"Team Reality , from Tilburg, The Netherlands"
"86","Red Devil","Spanish Fork, UT",-111.654923,40.114955,"Team Red Devil , from Spanish Fork, UT"
"87","Ultimo Destructo","Valkaria, FL",-80.571043,27.939804,"Team Ultimo Destructo , from Valkaria, FL"
"88","Vanquish","Kent, United Kingdom",0.5217254,51.2787075,"Team Vanquish , from Kent, United Kingdom"
"89","Warhead","Poole, United Kingdom",-1.987248,50.71505,"Team Warhead , from Poole, United Kingdom"
"90","Warrior Dragon","Dorchester, WI",-90.3356912,45.0030238,"Team Warrior Dragon , from Dorchester, WI"
